GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (OBD)(mph),Engine RPM(rpm),Trip Distance(miles),Throttle Position(Manifold)(%)
Fri Feb 19 11:10:28 EST 2016,19-Feb-2016 11:10:28.026,-75.70414031,39.51782039,0.0,12.0,-13.699999809265137,0.0,-0.6895301,7.929596,6.4739213,0.064861596,0.0,1145.25,-,18.431373596191406
Fri Feb 19 11:10:28 EST 2016,19-Feb-2016 11:10:28.126,-75.70414031,39.51782039,0.0,12.0,-13.699999809265137,0.0,-0.076614454,6.9719152,7.431602,0.057766378,0.0,1145.25,-,18.431373596191406
Fri Feb 19 11:10:29 EST 2016,19-Feb-2016 11:10:28.224,-75.70414028,39.5178204,0.0,12.0,-13.699999809265137,0.0,-0.61291564,7.6614456,5.7843914,-4.3058395E-4,0.0,1137.5,-,18.431373596191406
Fri Feb 19 11:10:29 EST 2016,19-Feb-2016 11:10:28.324,-75.70414028,39.5178204,0.0,12.0,-13.699999809265137,0.0,-1.1875241,8.082825,8.542512,0.22391182,0.0,1137.5,-,18.431373596191406
Fri Feb 19 11:10:29 EST 2016,19-Feb-2016 11:10:28.423,-75.70414028,39.5178204,0.0,12.0,-13.699999809265137,0.0,-0.30645782,7.5082164,5.209783,-0.04891038,0.0,1141.25,-,18.431373596191406
Fri Feb 19 11:10:29 EST 2016,19-Feb-2016 11:10:28.524,-75.70414028,39.5178204,0.0,12.0,-13.699999809265137,0.0,-1.8770541,9.461885,5.5162406,0.15173525,0.0,1141.25,-,18.431373596191406
Fri Feb 19 11:10:29 EST 2016,19-Feb-2016 11:10:28.623,-75.70414028,39.5178204,0.0,12.0,-13.699999809265137,0.0,-4.175488,9.959879,3.2944214,0.16997021,0.0,1141.25,-,18.431373596191406
Fri Feb 19 11:10:29 EST 2016,19-Feb-2016 11:10:28.724,-75.70414028,39.5178204,0.0,12.0,-13.699999809265137,0.0,-3.715801,8.772355,3.9839516,0.071633756,0.0,1140.5,-,18.431373596191406
Fri Feb 19 11:10:29 EST 2016,19-Feb-2016 11:10:28.824,-75.70414028,39.5178204,0.0,12.0,-13.699999809265137,0.0,-4.4819455,7.431602,1.5705963,-0.08196998,0.0,1140.5,-,18.431373596191406
Fri Feb 19 11:10:29 EST 2016,19-Feb-2016 11:10:28.923,-75.70414028,39.5178204,0.0,12.0,-13.699999809265137,0.0,-3.0262709,8.312668,3.8307228,0.0016897321,0.0,1145.25,-,18.431373596191406
Fri Feb 19 11:10:29 EST 2016,19-Feb-2016 11:10:29.024,-75.70414028,39.5178204,0.0,12.0,-13.699999809265137,0.0,-0.19153613,9.308656,5.3247046,0.11234158,0.0,1145.25,-,18.431373596191406
Fri Feb 19 11:10:29 EST 2016,19-Feb-2016 11:10:29.123,-75.70414028,39.5178204,0.0,12.0,-13.699999809265137,0.0,0.15322891,8.963891,3.86903,0.014355302,0.0,1135.0,-,18.431373596191406
Fri Feb 19 11:10:30 EST 2016,19-Feb-2016 11:10:29.224,-75.70414026,39.51782037,0.0,12.0,-13.699999809265137,0.0,-0.22984336,9.308656,4.3287168,0.065735996,0.0,1135.0,-,18.431373596191406
Fri Feb 19 11:10:30 EST 2016,19-Feb-2016 11:10:29.324,-75.70414026,39.51782037,0.0,12.0,-13.699999809265137,0.0,0.5363012,9.346964,3.715801,0.04578501,0.0,1135.0,-,18.431373596191406
Fri Feb 19 11:10:30 EST 2016,19-Feb-2016 11:10:29.432,-75.70414026,39.51782037,0.0,12.0,-13.699999809265137,0.0,0.7661445,8.810662,4.098873,0.012638032,0.0,1133.5,-,18.431373596191406
Fri Feb 19 11:10:30 EST 2016,19-Feb-2016 11:10:29.525,-75.70414026,39.51782037,0.0,12.0,-13.699999809265137,0.0,1.4173675,9.11712,4.596867,0.06979972,0.0,1133.5,-,18.431373596191406
Fri Feb 19 11:10:30 EST 2016,19-Feb-2016 11:10:29.624,-75.70414026,39.51782037,0.0,12.0,-13.699999809265137,0.0,1.8387469,8.887277,5.056554,0.0780316,0.0,1133.5,-,18.431373596191406
Fri Feb 19 11:10:30 EST 2016,19-Feb-2016 11:10:29.724,-75.70414026,39.51782037,0.0,12.0,-13.699999809265137,0.0,2.4899697,8.810662,4.7500963,0.07043809,0.0,1133.5,-,18.431373596191406
Fri Feb 19 11:10:30 EST 2016,19-Feb-2016 11:10:29.824,-75.70414026,39.51782037,0.0,12.0,-13.699999809265137,0.0,-0.038307227,8.887277,3.7541082,0.002457559,0.0,1133.5,-,18.431373596191406
Fri Feb 19 11:10:30 EST 2016,19-Feb-2016 11:10:29.924,-75.70414026,39.51782037,0.0,12.0,-13.699999809265137,0.0,-0.11492168,10.113108,3.1028855,0.097393215,0.0,1139.0,-,18.431373596191406
Fri Feb 19 11:10:30 EST 2016,19-Feb-2016 11:10:30.025,-75.70414026,39.51782037,0.0,12.0,-13.699999809265137,0.0,1.0726024,8.197746,2.834735,-0.09006286,0.0,1139.0,-,18.431373596191406
Fri Feb 19 11:10:30 EST 2016,19-Feb-2016 11:10:30.124,-75.70414026,39.51782037,0.0,12.0,-13.699999809265137,0.0,1.4939818,8.695741,6.129156,0.11411828,0.0,1136.5,-,18.431373596191406
Fri Feb 19 11:10:31 EST 2016,19-Feb-2016 11:10:30.227,-75.70414014,39.51782037,0.0,11.0,-13.699999809265137,0.0,-3.9839516,7.201759,-4.55856,-0.021939635,0.0,1136.5,-,18.431373596191406
Fri Feb 19 11:10:31 EST 2016,19-Feb-2016 11:10:30.324,-75.70414014,39.51782037,0.0,11.0,-13.699999809265137,0.0,-0.6895301,10.457873,5.363012,0.2191059,0.0,1136.5,-,18.431373596191406
Fri Feb 19 11:10:31 EST 2016,19-Feb-2016 11:10:30.424,-75.70414014,39.51782037,0.0,11.0,-13.699999809265137,0.0,-0.34476504,10.0748005,4.7500963,0.1549614,0.0,1134.25,-,18.431373596191406
Fri Feb 19 11:10:31 EST 2016,19-Feb-2016 11:10:30.524,-75.70414014,39.51782037,0.0,11.0,-13.699999809265137,0.0,-1.7238252,10.534488,5.439626,0.24027151,0.0,1134.25,-,18.431373596191406
