GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (OBD)(mph),Engine RPM(rpm),Trip Distance(miles),Throttle Position(Manifold)(%)
Thu Feb 18 08:38:31 EST 2016,18-Feb-2016 08:38:30.722,-75.70421913,39.51756736,0.0,32.0,1.0,0.0,-0.076614454,6.435614,7.699753,0.041976154,-,-,0.0,-
Thu Feb 18 08:38:31 EST 2016,18-Feb-2016 08:38:30.818,-75.70421913,39.51756736,0.0,32.0,1.0,0.0,-0.15322891,6.4739213,7.73806,0.04756552,-,-,0.0,-
Thu Feb 18 08:38:31 EST 2016,18-Feb-2016 08:38:30.918,-75.70421913,39.51756736,0.0,32.0,1.0,0.0,0.11492168,6.435614,7.776367,0.04801756,-,-,0.0,-
Thu Feb 18 08:38:31 EST 2016,18-Feb-2016 08:38:31.018,-75.70421913,39.51756736,0.0,32.0,1.0,0.0,-0.038307227,6.3589997,7.73806,0.039976895,-,-,0.0,-
Thu Feb 18 08:38:31 EST 2016,18-Feb-2016 08:38:31.122,-75.70421913,39.51756736,0.0,32.0,1.0,0.0,0.038307227,6.435614,7.776367,0.047958314,-,-,0.0,-
Thu Feb 18 08:38:31 EST 2016,18-Feb-2016 08:38:31.218,-75.70421913,39.51756736,0.0,32.0,1.0,0.0,0.076614454,6.2823853,7.776367,0.03809327,-,-,0.0,-
Thu Feb 18 08:38:31 EST 2016,18-Feb-2016 08:38:31.318,-75.70421913,39.51756736,0.0,32.0,1.0,0.0,0.0,6.090849,8.00621,0.04445499,-,-,0.0,-
Thu Feb 18 08:38:31 EST 2016,18-Feb-2016 08:38:31.417,-75.70421913,39.51756736,0.0,32.0,1.0,0.0,-0.038307227,6.3206925,7.8529816,0.046601474,-,-,0.0,-
Thu Feb 18 08:38:31 EST 2016,18-Feb-2016 08:38:31.518,-75.70421913,39.51756736,0.0,32.0,1.0,0.0,0.038307227,6.244078,7.929596,0.04784721,-,-,0.0,-
Thu Feb 18 08:38:31 EST 2016,18-Feb-2016 08:38:31.617,-75.70421913,39.51756736,0.0,32.0,1.0,0.0,0.038307227,6.244078,7.967903,0.050917923,-,-,0.0,-
Thu Feb 18 08:38:32 EST 2016,18-Feb-2016 08:38:31.718,-75.70421893,39.51756666,0.0,40.0,1.0,0.0,0.11492168,6.129156,7.8529816,0.03453344,-,-,0.0,-
Thu Feb 18 08:38:32 EST 2016,18-Feb-2016 08:38:31.818,-75.70421893,39.51756666,0.0,40.0,1.0,0.0,0.038307227,6.205771,7.967903,0.04851383,-,-,0.0,-
Thu Feb 18 08:38:32 EST 2016,18-Feb-2016 08:38:31.918,-75.70421893,39.51756666,0.0,40.0,1.0,0.0,0.076614454,6.3206925,7.776367,0.040551722,-,-,0.0,-
Thu Feb 18 08:38:32 EST 2016,18-Feb-2016 08:38:32.018,-75.70421893,39.51756666,0.0,40.0,1.0,0.0,0.076614454,6.244078,7.967903,0.050940096,-,-,0.0,-
Thu Feb 18 08:38:32 EST 2016,18-Feb-2016 08:38:32.118,-75.70421893,39.51756666,0.0,40.0,1.0,0.0,0.11492168,6.167464,7.8529816,0.036940515,-,-,0.0,-
Thu Feb 18 08:38:32 EST 2016,18-Feb-2016 08:38:32.218,-75.70421893,39.51756666,0.0,40.0,1.0,0.0,0.11492168,6.167464,7.929596,0.043093503,-,-,0.0,-
Thu Feb 18 08:38:32 EST 2016,18-Feb-2016 08:38:32.318,-75.70421893,39.51756666,0.0,40.0,1.0,0.0,0.076614454,6.129156,8.00621,0.04685372,-,-,0.0,-
Thu Feb 18 08:38:32 EST 2016,18-Feb-2016 08:38:32.418,-75.70421893,39.51756666,0.0,40.0,1.0,0.0,0.038307227,6.244078,7.929596,0.04784721,-,-,0.0,-
