GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (OBD)(mph),Engine RPM(rpm),Trip Distance(miles),Throttle Position(Manifold)(%)
Thu Feb 18 17:09:02 EST 2016,18-Feb-2016 17:09:01.726,-75.75126312,39.66437828,0.0,10.0,-20.5,0.0,-0.49799395,8.0445175,6.0525417,0.04646784,0.0,1181.25,-,18.039215087890625
Thu Feb 18 17:09:02 EST 2016,18-Feb-2016 17:09:01.803,-75.75126312,39.66437828,0.0,10.0,-20.5,0.0,-0.5746084,8.00621,6.129156,0.048491657,0.0,1181.25,-,18.039215087890625
Thu Feb 18 17:09:02 EST 2016,18-Feb-2016 17:09:01.903,-75.75126312,39.66437828,0.0,10.0,-20.5,0.0,-0.45968673,8.00621,6.205771,0.052652657,0.0,1182.0,-,18.039215087890625
Thu Feb 18 17:09:02 EST 2016,18-Feb-2016 17:09:02.002,-75.75126312,39.66437828,0.0,10.0,-20.5,0.0,-0.49799395,8.082825,6.244078,0.0613932,0.0,1182.0,-,18.039215087890625
Thu Feb 18 17:09:02 EST 2016,18-Feb-2016 17:09:02.103,-75.75126312,39.66437828,0.0,10.0,-20.5,0.0,-0.5363012,7.929596,6.129156,0.042095363,0.0,1182.0,-,18.039215087890625
Thu Feb 18 17:09:02 EST 2016,18-Feb-2016 17:09:02.203,-75.75126312,39.66437828,0.0,10.0,-20.5,0.0,-0.4213795,8.274361,6.435614,0.088412344,0.0,1175.75,-,18.039215087890625
Thu Feb 18 17:09:03 EST 2016,18-Feb-2016 17:09:02.303,-75.75126829,39.66438246,0.0,10.0,-21.100000381469727,0.0,0.5363012,8.00621,7.393295,0.13122255,0.0,1175.75,-,18.039215087890625
Thu Feb 18 17:09:03 EST 2016,18-Feb-2016 17:09:02.403,-75.75126829,39.66438246,0.0,10.0,-21.100000381469727,0.0,0.45968673,7.776367,6.7803793,0.07174975,0.0,1161.5,-,18.039215087890625
Thu Feb 18 17:09:03 EST 2016,18-Feb-2016 17:09:02.503,-75.75126829,39.66438246,0.0,10.0,-21.100000381469727,0.0,-0.076614454,9.040505,4.0222588,0.02768594,0.0,1161.5,-,18.039215087890625
Thu Feb 18 17:09:03 EST 2016,18-Feb-2016 17:09:02.603,-75.75126829,39.66438246,0.0,10.0,-21.100000381469727,0.0,-1.8004397,9.691729,6.244078,0.20847481,0.0,1163.25,-,18.039215087890625
Thu Feb 18 17:09:03 EST 2016,18-Feb-2016 17:09:02.703,-75.75126829,39.66438246,0.0,10.0,-21.100000381469727,0.0,-1.6472107,9.002198,5.363012,0.10027391,0.0,1163.25,-,18.039215087890625
Thu Feb 18 17:09:03 EST 2016,18-Feb-2016 17:09:02.803,-75.75126829,39.66438246,0.0,10.0,-21.100000381469727,0.0,-2.030283,7.6231384,3.2561142,-0.11102712,0.0,1160.0,-,18.039215087890625
Thu Feb 18 17:09:03 EST 2016,18-Feb-2016 17:09:02.903,-75.75126829,39.66438246,0.0,10.0,-21.100000381469727,0.0,-1.8004397,8.42759,3.1411927,-0.04599476,0.0,1160.0,-,18.039215087890625
Thu Feb 18 17:09:03 EST 2016,18-Feb-2016 17:09:03.002,-75.75126829,39.66438246,0.0,10.0,-21.100000381469727,0.0,-2.6048915,7.5465236,4.2521024,-0.05896014,0.0,1158.5,-,18.039215087890625
Thu Feb 18 17:09:03 EST 2016,18-Feb-2016 17:09:03.103,-75.75126829,39.66438246,0.0,10.0,-21.100000381469727,0.0,-1.9919758,9.002198,6.588843,0.17417544,0.0,1158.5,-,18.039215087890625
Thu Feb 18 17:09:04 EST 2016,18-Feb-2016 17:09:03.203,-75.75127231,39.66438552,0.0,10.0,-21.600000381469727,0.0,-1.0726024,8.619126,6.167464,0.10488969,0.0,1159.25,-,18.039215087890625
Thu Feb 18 17:09:04 EST 2016,18-Feb-2016 17:09:03.304,-75.75127231,39.66438552,0.0,10.0,-21.600000381469727,0.0,-1.532289,8.42759,5.094861,0.034946263,0.0,1159.25,-,18.039215087890625
Thu Feb 18 17:09:04 EST 2016,18-Feb-2016 17:09:03.403,-75.75127231,39.66438552,0.0,10.0,-21.600000381469727,0.0,-2.336741,8.619126,5.746084,0.10148615,0.0,1159.25,-,18.039215087890625
Thu Feb 18 17:09:04 EST 2016,18-Feb-2016 17:09:03.510,-75.75127231,39.66438552,0.0,10.0,-21.600000381469727,0.0,-1.2641385,8.42759,4.4819455,5.097985E-4,0.0,1163.25,-,18.039215087890625
