GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (OBD)(mph),Engine RPM(rpm),Trip Distance(miles),Throttle Position(Manifold)(%)
Tue Feb 23 08:36:40 EST 2016,23-Feb-2016 08:36:40.984,-75.70435569,39.517614,0.0,3.0,1.2999999523162842,0.0,-1.1875241,6.895301,7.201759,0.042542517,0.0,1207.0,-,18.823530197143555
Tue Feb 23 08:36:40 EST 2016,23-Feb-2016 08:36:41.066,-75.70435569,39.517614,0.0,3.0,1.2999999523162842,0.0,-1.2258313,7.0485296,7.240066,0.05656928,0.0,1207.0,-,18.823530197143555
Tue Feb 23 08:36:40 EST 2016,23-Feb-2016 08:36:41.166,-75.70435569,39.517614,0.0,3.0,1.2999999523162842,0.0,-1.4556746,7.086837,7.393295,0.07345742,0.0,1185.75,-,18.823530197143555
Tue Feb 23 08:36:40 EST 2016,23-Feb-2016 08:36:41.266,-75.70435569,39.517614,0.0,3.0,1.2999999523162842,0.0,-1.6089035,6.933608,7.1634517,0.048402846,0.0,1185.75,-,18.823530197143555
Tue Feb 23 08:36:41 EST 2016,23-Feb-2016 08:36:41.366,-75.70435573,39.51761361,0.0,3.0,1.399999976158142,0.0,-0.7661445,6.7803793,7.699753,0.067744434,0.0,1190.5,-,18.823530197143555
Tue Feb 23 08:36:41 EST 2016,23-Feb-2016 08:36:41.466,-75.70435573,39.51761361,0.0,3.0,1.399999976158142,0.0,-0.7661445,6.933608,7.1251445,0.03545648,0.0,1190.5,-,18.823530197143555
Tue Feb 23 08:36:41 EST 2016,23-Feb-2016 08:36:41.566,-75.70435573,39.51761361,0.0,3.0,1.399999976158142,0.0,-0.9959879,7.0485296,7.3166804,0.059592307,0.0,1185.0,-,18.823530197143555
Tue Feb 23 08:36:41 EST 2016,23-Feb-2016 08:36:41.666,-75.70435573,39.51761361,0.0,3.0,1.399999976158142,0.0,-0.49799395,6.6271505,7.1634517,0.015075147,0.0,1185.0,-,18.823530197143555
Tue Feb 23 08:36:41 EST 2016,23-Feb-2016 08:36:41.766,-75.70435573,39.51761361,0.0,3.0,1.399999976158142,0.0,0.038307227,6.7803793,7.2783732,0.033000767,0.0,1178.75,-,18.823530197143555
Tue Feb 23 08:36:41 EST 2016,23-Feb-2016 08:36:41.866,-75.70435573,39.51761361,0.0,3.0,1.399999976158142,0.0,-2.6431987,6.5122285,7.0485296,0.03365463,0.0,1178.75,-,18.823530197143555
Tue Feb 23 08:36:41 EST 2016,23-Feb-2016 08:36:41.966,-75.70435573,39.51761361,0.0,3.0,1.399999976158142,0.0,-2.7581203,8.580819,6.435614,0.1479463,0.0,1179.5,-,18.823530197143555
Tue Feb 23 08:36:41 EST 2016,23-Feb-2016 08:36:42.066,-75.70435573,39.51761361,0.0,3.0,1.399999976158142,0.0,-2.528277,8.465898,7.393295,0.19337386,0.0,1179.5,-,18.823530197143555
